,Price,Open,High,Low,Vol.,Change %
2020-04-21,1678.3,1703.6,1709.9,1659.2,1.66,-0.0147
2020-04-22,1727.4,1698.6,1730.4,1690.1,1.65,0.029300000000000003
2020-04-23,1733.4,1725.6,1750.0,1721.2,1.7,0.0034999999999999996
2020-04-24,1724.2,1733.7,1746.6,1715.0,0.9,-0.0053
2020-04-25,1724.2,1733.7,1746.6,1715.0,0.9,-0.0053
2020-04-26,1724.2,1733.7,1746.6,1715.0,0.9,-0.0053
2020-04-27,1712.6,1734.3,1734.3,1708.3,0.74,-0.0067
2020-04-28,1710.6,1713.5,1720.7,1694.9,1.26,-0.0012
2020-04-29,1713.4,1724.8,1733.5,1708.2,159.6,0.0016
2020-04-30,1694.2,1729.6,1737.0,1687.5,234.53,-0.011200000000000002
2020-05-01,1700.9,1693.5,1714.4,1676.0,168.02,0.004
2020-05-02,1700.9,1693.5,1714.4,1676.0,168.02,0.004
2020-05-03,1700.9,1693.5,1714.4,1676.0,168.02,0.004
2020-05-04,1713.3,1711.2,1726.0,1700.3,148.73,0.0073
2020-05-05,1710.6,1711.0,1717.8,1695.4,184.73,-0.0016
2020-05-06,1688.5,1714.1,1716.6,1683.0,203.37,-0.0129
2020-05-07,1725.8,1686.0,1733.2,1683.9,250.7,0.022099999999999998
2020-05-08,1713.9,1727.2,1735.5,1703.1,232.81,-0.0069
2020-05-09,1713.9,1727.2,1735.5,1703.1,232.81,-0.0069
2020-05-10,1713.9,1727.2,1735.5,1703.1,232.81,-0.0069
2020-05-11,1698.0,1706.0,1713.8,1692.1,202.17,-0.009300000000000001
2020-05-12,1706.8,1700.0,1716.7,1693.5,198.07,0.0052
2020-05-13,1716.4,1705.0,1726.5,1701.6,211.61,0.005600000000000001
2020-05-14,1740.9,1723.1,1746.5,1716.0,212.91,0.0143
2020-05-15,1756.3,1738.5,1761.2,1736.8,200.18,0.0088
2020-05-16,1756.3,1738.5,1761.2,1736.8,200.18,0.0088
2020-05-17,1756.3,1738.5,1761.2,1736.8,200.18,0.0088
2020-05-18,1734.4,1757.5,1775.8,1729.3,271.47,-0.0125
2020-05-19,1745.6,1734.8,1751.6,1727.2,185.26,0.006500000000000001
2020-05-20,1752.1,1749.2,1757.6,1744.0,184.46,0.0037
2020-05-21,1721.9,1751.7,1751.7,1715.3,238.74,-0.0172
2020-05-22,1735.5,1726.0,1742.0,1722.5,196.82,0.0079
2020-05-23,1735.5,1726.0,1742.0,1722.5,196.82,0.0079
2020-05-24,1735.5,1726.0,1742.0,1722.5,196.82,0.0079
2020-05-25,1705.6,1734.8,1737.2,1700.0,313.17,-0.0172
2020-05-26,1705.6,1730.2,1737.2,1700.0,313.17,0.0
2020-05-27,1710.7,1703.1,1713.2,1684.2,137.42,0.003
2020-05-28,1719.8,1718.7,1734.5,1714.0,1.56,0.0053
2020-05-29,1742.9,1724.9,1745.0,1718.6,1.19,0.0134
2020-05-30,1742.9,1724.9,1745.0,1718.6,1.19,0.0134
2020-05-31,1742.9,1724.9,1745.0,1718.6,1.19,0.0134
2020-06-01,1743.3,1743.0,1752.7,1730.5,0.71,0.0002
